filename,whisper_transcription
53.mp4, I bought this for my two year old son. It's really cute and well made.
108.mp4," The favorite toy has to get 5 stars, right?"
86.mp4, Love those news!
42.mp4," This polys costume is the most adorable I have found so far, but the quality terrible. Coming apart at the seams right out of the back."
123.mp4," There are several models of these launch pads, but do yourself a favor and buy this one. You'll be glad you did."
45.mp4, My child lost interest after five minutes.
103.mp4," My grandson loves this, he loves the size, the colors, the lights and the sounds. He enjoys playing with his firetruck."
18.mp4, fabric is nice and heavy and the emblems are colorful and intricate. This was so affordable. Workmanship is very good and fit is exas for 8G.
63.mp4, Grants unloves his Melissa and Dark Puzzles. First thing he goes to in his playroom.
34.mp4, Very cheap quality. Definitely not worth the price.
149.mp4, What you see is what you get. The extra weird connectors are pretty cool.
49.mp4, Seems don't all together with wage from books.
162.mp4," Pressures, we have a collection started."
143.mp4, Overpriced for such per quality.
194.mp4, This toy made my child cry. A full experience.
3.mp4, The toy broke within minutes of opening the box.
61.mp4," This is a beautiful puzzle. Unfortunately, my son was only interested in it for about a month before he was ready to move on to puzzles with more pieces."
6.mp4, Love these for on the go entertainment. No mess.
75.mp4, arrived damaged and missing pieces.
97.mp4, Introductions were confusing and incomplete.
157.mp4," Wish he was a bit bigger, but it's still a good blush toy. Nice details."
166.mp4," I love this puzzle, it is fun and the pieces are bigger and the subject is wonderful."
174.mp4, Easy to put up. Kids 5 to 6 years old loved it.
185.mp4, One of the funniest games I have played with my family and with my students. It is a must.
65.mp4, My eight year old son loved it.
109.mp4, The kids really loved this tie.
96.mp4," Amazing little shorter than I thought, because it's shorter than my other Gundams."
73.mp4," The paint paint and finish, the bed is the size that not see on time and the price is way too much."
134.mp4," New cards, what could go wrong?"
4.mp4, So cute and fluffy.
186.mp4, My grandson was over the moon with this. I was too. Especially given the price.
132.mp4, super fun and great price
44.mp4, They work amazing. I got them on all my stuff.
195.mp4, Kids love chalk. Great gift.
144.mp4, I use these for geocaching and they fit nicely into the caches.
99.mp4, smaller than I thought it would be but still cute.
28.mp4, Smaller than I had expected.
138.mp4, Adorable
119.mp4, My 5 year old daughter loves them.
11.mp4, Is it worthised?
90.mp4, Awesome! We love this music! Glides and remote auction!
24.mp4, These are great paint holders made painting with numerous paint colors with my toddlers much easier. Highly recommend.
71 2.mp4, I love it. Kids spend hours with it.
192.mp4," This gorilla is impressive. From the paint shop to the posture he's in, it almost looks like he's alive."
51.mp4, Love the value that this truck showed along with assembly. I'd order again if I needed to. No damages or late arrivals.
72.mp4," My two year old son and I love playing with this. We count the pieces, place pizza orders and play flip with pizza."
129.mp4, The main gift for two of my grandsons. I see ears of fun with this gift.
19.mp4, There's not too much. Grandeur loves the one Princess Song and that is all. I thought it would offer more interaction.
196.mp4, Totally loved is and work great quality.
48.mp4, It's a fun game.
170.mp4," Very frustrating to assemble, poor design."
78.mp4, My granddaughter loves it.
169.mp4," Disappointed, it looked fine but wasn't."
122.mp4," These are so great, big hit with my one year old."
164.mp4, didn't work properly even once.
176.mp4," Wow, she's adorable cute, love Hello Kitty, even if she's no longer in vogue, makes me smile."
146.mp4, 10 year old son loved it
115.mp4," Mike, you love this. Slips with it every night."
69.mp4, Excellent!
189.mp4," Love this, I just wish it came with a variety of colors."
145.mp4, My 5 year old will love this for his hut will master Gentrugs. It will make hauling them all over easier.
177.mp4, This was a Christmas gift to my granddaughter. She enjoyed coloring it.
80.mp4, Brought as a gift for a 3 years old and he loves it.
10.mp4, Gift for granddaughter and she loves them.
5.mp4," Great little truck, send loves it and plays with it all the time."
187.mp4," Got it for my daughter's birthday party. To decorate, kids love them and quality is great."
193.mp4, I love it. It's excellent. Very pleased.
46.mp4, All five of ours made it. Three-year-old daughter loves the experience. I highly recommend and would do again next year.
112.mp4, Purchase this game for my 4 year old. He loves it and he is fun to play with him.
168.mp4, Great product quick shipping.
181.mp4," But this for Halloween but my toddler already found it and loves it, might be buying seconds. Can't be surprised and it looks just like Elsa's dress."
13.mp4," Lucky to get one for the kids for Christmas, they loved it."
152.mp4," Love this set, great creative playtime fun."
83.mp4, Awesome!
95.mp4," My two-year-old loves this puzzle. Pieces as dirty and fit together easily for little one. Love, Melissa and Doc toys."
31.mp4, You'd choice of money and so disappointed. Never word and we follow the directions in everything.
135.mp4, 2 cute forwards are nis loved it for a week but that's her not the product
199.mp4," Great figures, great product, fast-chipping, excellent."
39.mp4, Excellent.
190.mp4, Not particularly interesting. Kids were barred rather quickly.
141.mp4, Paint was chipped right out of the box.
66.mp4, Husband loves it.
2.mp4, My husband loved this set. The quality was good and cheaping was fast. Great bye!
36.mp4," Kids loved the costume, many compliments."
71.mp4, I love it. Kids spend hours with it.
30.mp4, My granddaughter loves using this tray for her snacks when she comes to visit.
175.mp4, My granddaughter plays with this all the time.
94.mp4, Great mix of sand toys and the quality seems good.
197.mp4, Botted for a parting gift for my daughter's birthday. It was a hit.
60.mp4, Overpriced and not snugly.
188.mp4, Feels like it will break if touched.
26.mp4, These were great. I added to my vest for a true 80s look.
155.mp4, The only way my daughter will build because she likes books. They're fun. This one seems a little more abstract in the building part but good.
7.mp4, This Thriller pretty much only fits Fisher Price's little cloth doll. My daughter can use it for her bitty baby or most of her other dolls.
124.mp4," Very powerful thinner, just some concern on the smell."
153.mp4, Great little piano.
165.mp4, Thank for kids to help mommy charge.
37.mp4, Smaller than I thought it would be.
154.mp4," But as a gift, their daughter loved it, helps make mom's pregnancy a little more about the kids they already have. Includes them in the process."
82.mp4," Not much to say about a part of paper, but it's very nice and the great gift for a four-years-old."
184.mp4, Better than I expected. Seems like the good old-fashioned turdels ties. Reminds me of the ones my parents bought me when I was younger. Happy with this one.
171.mp4, These are cute and my daughter loves them. Just wish they were bigger and all meal can just disappear. But it's a good product.
67.mp4, Quite big but nice.
116.mp4, These card protectors work and look nice on cards. The cards fit snuggling inside and they do not slide around or stick out of the bottom.
15.mp4," Was it gifts and I never heard if they like it. Sorry, I can't help you."
151.mp4," Awesome, its high quality, well built and has good detail."
163.mp4," 5 years old, love this for Christmas."
57.mp4, Fun stalking stuffer.
29.mp4, I pulled high rarity cards and left me happy. The sleeves in the box are also nice to have.
59.mp4, Some of the dirt is starting to fade.
158.mp4, It's flimsy and falls apart easily.
