filename;real_transcription
85.mp4;I love this game because it helps you with grammar, and making silly, funny sentences. I recommend this game to kids from third grade to adult.
86.mp4;Love those news
87.mp4;if you love lego, this won't change your mind....my five year old plays with this
88.mp4;Trying to get our money back. This is the worst thing ever. if it worked it would be great. Nothing works on this, My grand children are very sad.
89.mp4;Great!!!
90.mp4;Awesome!  We love the music, lights and remote option.
91.mp4;This is one of my granddaughters’ favorite toys.  It arrived on time and was easy to put together.
92.mp4;Great buy
93.mp4;Great toy! My son really likes it and he's used it for over a year.
94.mp4;Great mix of sand toys and the quality seems good.
95.mp4;My two year old loves this puzzle. Pieces are sturdy and fit together easily for a little one, love melissa and doug toys.
96.mp4;Amazing , a little shorter than I thought cause it's shorter than my other gundamns
97.mp4;Instructions were confusing and incomplete.
98.mp4;my daughter loves this.
99.mp4;Smaller than I thought it would be, but still cute
100.mp4;eight year old grandson loved it.
101.mp4;It's a little smaller than I thought but it will be the perfect cuddly toy for my daughter.
102.mp4;my grandson loved it and it arrived on the time it was projected to arrive!
103.mp4;My grandson loves this. He loves the size, the colors , the lights and the sounds. He enjoys playing with this fire truck
104.mp4;Felt like a dollar store item.
105.mp4;My grandkids were so excited to get these for their birthday! They LOVE to play cards and always drop them. Not any more!
106.mp4;Kids Loved it.
107.mp4;Much more inexpensive than buying these from Justice. Bought as birthday gifts for my seven year old.
108.mp4;The favorite toy has to get five stars, right?
109.mp4;The kids really loved this toy
110.mp4;Fun toy but my two year old got bored pretty quickly after playing with it a few times.
111.mp4;Goes perfect with an outfit I bought my neices doll for Christmas. Style is great. Also this is a match of the shoes my neice wears.
112.mp4;Purchased this game for my four year old.  He loves it!  And it is fun to play with him!
113.mp4;Extremely loud and annoying. Not kid friendly.
114.mp4;So cute perfect for the barbies.
115.mp4;My kid loves this, sleeps with it every night.
116.mp4;These card protectors work and look nice on cards. The cards fit snugly inside and they do not slide around or stick out of the bottom.
117.mp4;My two and four year old love this water slide,  They have played in it everyday the past week.  Its twenty dollars well spent, I recommend to other parents.
118.mp4;Stopped working after one day.
119.mp4;My five year old daughter loves them.
120.mp4;Came just like the picture great product
121.mp4;My kids found it boring and repetitive.
122.mp4;These are so great, big hit with my one year old.
123.mp4;There are several models of this launch pad but do yourself a favor and buy this one.  You'll be glad you did.
124.mp4;Very powerful thinner. Just some concern on the smell.
125.mp4;The balls are sturdy and do not crush with normal play.
126.mp4;While not a cool as the Cute but Deadly Blizzard figures, still a nice addition to the collection
127.mp4;Very cool.its a nice addition to my man cave collection. Thanks !!!
128.mp4;Even awesomeness
129.mp4;The main gift for two of my grandsons. I see years of fun with this gift.
130.mp4;get this definitely its fun
131.mp4;Great deal for a large classroom setting.
132.mp4;Super fun and great price!
133.mp4;I got this for my son for his 4th birthday.  Spiderman does not stay on the bike, and my son gets really frustrated with it.
134.mp4;New cards, what could go wrong ?
135.mp4;too cute for words. our niece loved it...for a week, but, that's her, not the product.
136.mp4;We bought one of those over the door basketball nets for the kitchen for the kids.  This ball works great . Highly recommend it.
137.mp4;bought when they were $3.50 or so. Great at that price. Not work more than $10 for sure.
138.mp4;adorable
139.mp4;The sounds are annoying. I wish you could turn the volume down. My son loves it though-18 months!
140.mp4;I got them for my 15 month old they squirt down words though he just likes trying to be drowned them in the tub and watch them pop back up.
141.mp4;Paint was chipped right out of the box.
142.mp4;Doesn’t look like the picture at all.
143.mp4;Overpriced for such poor quality.
144.mp4;I used this for geo catching and they fit nicely into the cashes
145.mp4;my 5 year old will love this for his hot wheel monster jam trucks it will make hauling them all over easier.
146.mp4;10 year old son loved it!
147.mp4;Pretty cool. The little drone and the K9 were fun to build.
148.mp4;Fits great!
149.mp4;What you see is what you get! The extra weird connectors are pretty cool.
150.mp4;was a birthday gift for my son, he took it out of the box, touched it once to make the head bobble and it broke.  Disappointing!
151.mp4;Awesome.  It's high quality, well built, and has good detail.
152.mp4;Love this set great creative play time fun
153.mp4;Great little piano !
154.mp4;Bought as a gift, their daughter loved it. Helps make moms pregnancy a little more about the kids they already have, includes them in the process
155.mp4;the only way my daughter will build because she likes books. They're fun. This one seems a little more abstract in the building part, but good
156.mp4;Dangerous small parts not mentioned in description.
157.mp4;Wish he was a bit bigger, but it's still a good plush toy. Nice details.
158.mp4;It’s flimsy and falls apart easily.
159.mp4;Bought this set for Kinetic Sand. It's perfect and especially for the price. Great buy.
160.mp4;Perfect for preschoolers as letter and sound recognition all in one.  Perfect for four year olds.
161.mp4;The paint is a little off, but it feels good in hand
162.mp4;Precious. We have a collection started.
163.mp4;5 year old loved these for Christmas!!
164.mp4;Didn’t work properly even once.
165.mp4;"Fun for kids to ""help"" mom with chores!"
166.mp4;I love this puzzle!  It is fun and the pieces are bigger and the subject is wonderful.
167.mp4;The worst toy we’ve ever bought.
168.mp4;Great product, quick shipping!
169.mp4;Disappointed. It looked fun but wasn’t.
170.mp4;Very frustrating to assemble. Poor design.
171.mp4;These are cute, and my daughter loves them, just wish they were bigger, and all milk and juice disappeared. But it's a good product.
172.mp4;they don't really work.
173.mp4;My son loved this for Christmas
174.mp4;easy to put up, kids (5-6 years old) loved it
175.mp4;My granddaughter plays with this all the time.
176.mp4;WOW, she's adorably cute. Love hello kitty, even if she is no longer in vogue. Makes me smile :)
177.mp4;This was a christmas gift to my granddaughter, she enjoyed color it!!
178.mp4;My son love the kitchen! It's a little bit work to put it together, but its worth it!
179.mp4;My son loves these, but you can buy them cheaper at the Disney store. Cute toys, decent quality, lots of fun for little Mater fans!
180.mp4;Not suitable for the recommended age group.
181.mp4;Bought this for Halloween, but my toddler already found it and LOVES it (may be buying second)! Can't beat the price, and it looks just like Elsa's dress
182.mp4;Our Grandson that is 2 years loved these.  PErfect size to play with and carry around. Great service
183.mp4;Great figure, but SO SMALL.
184.mp4;Better than I expected, seems like the good old fashion turtles' toys. Reminds me of the ones my parents bought me when I was younger. Happy with this one.
185.mp4;One of the funniest games I have played with my family and with my students. It is a must.
186.mp4;My grandson was over the moon with this.  I was too... especially given the price!
187.mp4;got it for my daughter’s birthday party to decorate. kids loved them and quality is great
188.mp4;Feels like it will break if touched.
189.mp4;Love this. I just wished it came with a better variety of colors.
190.mp4;not particularly interesting, kids were bored rather quickly
191.mp4;Doll came on time with no issues
192.mp4;This gorilla is impressive, from the paint job to the posture is in, looks live like.
193.mp4;I love it. It's excellent. Very pleased!!!!!
194.mp4;Made my child cry — awful experience.
195.mp4;kids love chalk! great gift
196.mp4;totally loved these and were great quality
197.mp4;Bought it for a parting gift for my daughter's bday. It was a hit.
198.mp4;simply spectacular exactly what I asked, I recommend this product to 1000% so buy uninsured problem can not regret. ok
199.mp4;Great figures, great product, fast shipping, excellent
200.mp4;Toddler loves putting letters on the shower wall! Nice product.
